noise_type,noise_label,amount,amount_level,param_label,feature,feature_group,model,rmse,r2,rmse_delta,rmse_pct
gaussian,Gaussian (Additive),0.1,1,σ (std dev),CoastalVulnerability,Physical / Environmental,XGBoost,0.010990038593035411,0.9515050029578377,6.021930929921669e-05,0.5509634490372985
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Landslides,Physical / Environmental,Linear Regression,0.00011125035527110306,0.9999950306302126,0.00011125035527099218,100344736754802.02
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Landslides,Physical / Environmental,XGBoost,0.010926857989519046,0.95206098572485,-2.96129421714815e-06,-0.027093716193044647
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Watersheds,Physical / Environmental,Linear Regression,0.00012106889249619354,0.9999941147672723,0.00012106889249608267,109200785176121.73
gaussian,Gaussian (Additive),0.1,1,σ (std dev),Watersheds,Physical / Environmental,XGBoost,0.010988320779970607,0.9515201619271559,5.8501496234411934e-05,0.5352466927011631
gaussian,Gaussian (Additive),0.1,1,σ (std dev),DeterioratingInfrastructure,Infrastructure,Linear Regression,0.00011755688125400401,0.9999944512569524,0.00011755688125389314,106033048383560.66
gaussian,Gaussian (Additive),0.1,1,σ (std dev),DeterioratingInfrastructure,Infrastructure,XGBoost,0.010935315995840512,0.951986741982697,5.496712104317153e-06,0.05029096970062788
gaussian,Gaussian (Additive),0.1,1,σ (std dev),PopulationScore,Human / Land Use,Linear Regression,0.00010709716247180513,0.999995394737066,0.00010709716247169426,96598671970358.52
gaussian,Gaussian (Additive),0.1,1,σ (std dev),PopulationScore,Human / Land Use,XGBoost,0.010949650288371433,0.9518607854644223,1.9831004635238042e-05,0.1814394558631633
gaussian,Gaussian (Additive),0.1,1,σ (std dev),WetlandLoss,Physical / Environmental,Linear Regression,0.00011755240038360954,0.9999944516799429,0.00011755240038349867,106029006762668.11
gaussian,Gaussian (Additive),0.1,1,σ (std dev),WetlandLoss,Physical / Environmental,XGBoost,0.010909733430221596,0.952211127917529,-2.0085853514598823e-05,-0.18377114015496124
gaussian,Gaussian (Additive),0.1,1,σ (std dev),InadequatePlanning,Socio-Political,Linear Regression,0.00011366633633839464,0.9999948124508264,0.00011366633633828377,102523884709983.16
gaussian,Gaussian (Additive),0.1,1,σ (std dev),InadequatePlanning,Socio-Political,XGBoost,0.01100743573152072,0.9513513470927017,7.761644778452557e-05,0.7101347768852914
gaussian,Gaussian (Additive),0.1,1,σ (std dev),PoliticalFactors,Socio-Political,Linear Regression,0.00010807838291260217,0.9999953099639785,0.0001080783829124913,97483705609939.92
gaussian,Gaussian (Additive),0.1,1,σ (std dev),PoliticalFactors,Socio-Political,XGBoost,0.010872703398169347,0.9525349892164043,-5.711588556684723e-05,-0.5225693498138335
gaussian,Gaussian (Additive),0.25,2,σ (std dev),MonsoonIntensity,Physical / Environmental,Linear Regression,0.000659094286991107,0.9998255810785738,0.0006590942869909961,594484777721425.8
gaussian,Gaussian (Additive),0.25,2,σ (std dev),MonsoonIntensity,Physical / Environmental,XGBoost,0.011049962030113719,0.9509747210376663,0.00012014274637752419,1.099219879658021
gaussian,Gaussian (Additive),0.25,2,σ (std dev),TopographyDrainage,Physical / Environmental,Linear Regression,0.0006699744274135032,0.9998197750330361,0.0006699744274133923,604298362800603.4
gaussian,Gaussian (Additive),0.25,2,σ (std dev),TopographyDrainage,Physical / Environmental,XGBoost,0.011020570107403605,0.9512351799985292,9.075082366741087e-05,0.8303048871306595
gaussian,Gaussian (Additive),0.25,2,σ (std dev),RiverManagement,Infrastructure,Linear Regression,0.0006758632573374279,0.9998165928863261,0.000675863257337317,609609924162098.8
